"PlantID_final","Easting","Northing","Altitude"
"M1543",288.951398256992,-53.642744069919,1306.53
"M1547",-1625.811596705,-49.6573726898059,1220.95
"M1549",-1635.597050749,-49.6976213697344,1220.16
"M1550",-153.257354844012,488.592429179698,1372.42
"M1551",-439.254875915009,436.280775560066,1402.82
"M1554",-627.603461658,373.644517599605,1406.33
"M1555",-1165.48150726903,565.998338770121,1432.68
"M1556",-517.913152861991,421.344862029888,1408.87
"M1557",-117.053722582001,567.535767509602,1378.87
"M1559",-659.322524505027,391.313563819975,1415.91
"M1560",-656.464586534014,389.834158400074,1414.1
"M1562",-1136.10940777202,557.384537409991,1431.93
"M1563",-441.113569726003,434.987362580374,1401.9
"M1564",-490.946124508977,427.18438000977,1407.63
"M1566",-481.269136597984,427.785976669751,1406.28
"M1567",-374.044012370985,707.205605749972,1388.93
"M1568",-597.040318685991,389.872952049598,1410.69
"M1569",-492.622428045026,425.308195159771,1406.58
"M1250",-455.473558372993,436.270319069736,1401.08
"M1571",-438.403894086019,436.904462669976,1402.92
"M1573",-573.138173303974,399.896760869771,1410.38
"M1574",-596.989088060975,391.993445710279,1412.97
"M1577",-127.636153472995,569.479904130101,1376.89
"M1578",-138.884724708972,574.947144339792,1375.8
"M1580",174.867060713994,-397.469531469978,1135.4
"M1581",-495.88108666701,425.378248940222,1406.41
"M1583",-137.438130278024,572.498298999853,1378.51
"M1584",-349.082386246009,812.207377489656,1387.64
"M1585",-658.336037478002,391.367164090276,1414.31
"M1591",-519.773360768973,425.007645400241,1412.93
"M1593",177.443764247,-397.934985180385,1133.68
"M1594",-481.826073330012,428.561640970409,1406.58
"M1597",183.680828299024,-390.103605999611,1138.12
"M1599",-137.444082050992,572.261827629991,1373.79
"M1600",-509.072320464009,424.494167280383,1407.74
"M1601",-368.128223857027,-603.530119740404,1153.04
"M1602",-2261.08373700897,-364.446857050061,1255.16
"M1603",-144.038796365028,579.532962090336,1378.29
"M1604",63.2126150259865,75.2778533101082,1329.12
"M1605",562.674400835007,-428.421441519633,1137.89
"M1606",-145.627032492019,578.468623209745,1375.45
"M1607",-2260.74053339002,-365.25247946009,1253.52
"M1610",-2261.17140716198,-361.144345840439,1255.41
"M1611",-2150.38003373798,-249.360824299976,1244.57
"M1612",-2185.10159222002,-269.573964820243,1244.26
"J1675",-2190.90784369898,-273.314793510363,1245.61
"M1614",-1138.005574329,560.533728250302,1433.67
"M1615",-177.836837379029,-295.614387829788,1271.09
"M1617",60.6077430360019,69.0995576996356,1328.76
"M1618",-143.388902379025,572.548627469689,1374.67
"M1619",-522.020057384972,415.957215930335,1407.16
"M1621",279.432376685028,-377.695553990081,1139.22
"M1623",-18.5643362440169,-452.036286859773,1145.1
"M1625",-170.422823810019,-297.599593659863,1269.9
"M1626",-2261.48051646102,-362.617860560305,1254.24
"M1628",-203.126794068026,-512.978651899844,1151.7
"M1631",-201.451741555997,-511.547692700289,1149.9
"M1633",-132.428358577017,569.900738160126,1374.72
"M1634",-40.0469080149778,-156.295365470462,1332.43
"M1638",475.995884709002,-365.153378560208,1138.33
"M1639",-176.983344751003,-296.355496220291,1270.48
"M1640",-2261.59683489101,-360.80865794979,1253.87
"M1641",-224.647819990001,-526.845370640047,1147.98
"M1644",-147.303188679973,-280.576318290085,1279.47
"M1647",-171.643938715977,-297.775086499751,1269.69
"M1652",21.8279727729969,-75.9023304898292,1321.1
"M1653",-151.340147975017,-282.033780669793,1276.96
"M1654",22.1016854179907,-75.3134078104049,1321.28
"M1655",-21.3676154509885,-159.555518790148,1327.67
"M1656",-18.3903628319968,-155.022611490451,1324.82
"M1658",-60.0259497389779,-230.857967169955,1295.03
