iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
1610		1.699	-3266.811	-23.205	-3243.606	0.142	0.82	38.831	0.601
1620		1.709	-3266.274	-22.318	-3243.956	0.161	0.832	38.343	0.638
1630		1.72	-3265.251	-22.218	-3243.034	0.178	0.796	42.199	0.644
1640		1.73	-3266.486	-23.773	-3242.713	0.205	0.815	35.663	0.593
1650		1.741	-3264.828	-25.177	-3239.651	0.281	0.773	35.144	0.57
1660		1.751	-3264.593	-23.807	-3240.786	0.304	0.749	34.433	0.632
1670		1.762	-3264.504	-24.977	-3239.528	0.32	0.738	32.206	0.596
1680		1.772	-3265.542	-23.324	-3242.218	0.299	0.749	33.232	0.65
1690		1.783	-3264.919	-23.633	-3241.286	0.215	0.731	39.592	0.599
1700		1.793	-3264.148	-22.209	-3241.94	0.148	0.746	37.276	0.639
1710		1.804	-3264.148	-22.209	-3241.94	0.148	0.746	37.276	0.639
1720		1.814	-3265.33	-22.049	-3243.281	0.172	0.774	40.482	0.65
1730		1.825	-3265.222	-22.075	-3243.148	0.096	0.735	37.494	0.646
1740		1.835	-3264.893	-22.173	-3242.719	0.139	0.733	36.22	0.64
1750		1.846	-3264.299	-22.983	-3241.316	0.077	0.753	31.298	0.618
1760		1.856	-3264.867	-23.296	-3241.571	0.151	0.708	26.699	0.602
1770		1.867	-3262.282	-24.67	-3237.611	0.147	0.776	23.964	0.555
1780		1.878	-3263.036	-23.995	-3239.041	0.183	0.77	24.922	0.583
1790		1.888	-3264.667	-27.03	-3237.636	0.161	0.763	21.65	0.483
1800		1.899	-3265.425	-24.357	-3241.068	0.193	0.693	23.116	0.573
1810		1.909	-3261.72	-26.246	-3235.473	0.183	0.767	22.344	0.51
1820		1.92	-3261.846	-27.005	-3234.84	0.196	0.789	21.622	0.49
1830		1.93	-3261.768	-26.016	-3235.752	0.127	0.766	22.134	0.511
1840		1.941	-3261.865	-25.522	-3236.343	0.131	0.779	24.787	0.525
1850		1.951	-3261.835	-25.682	-3236.154	0.161	0.825	21.483	0.525
1860		1.962	-3259.882	-26.963	-3232.919	0.138	0.793	18.78	0.486
1870		1.972	-3259.882	-26.963	-3232.919	0.138	0.793	18.78	0.486
1880		1.983	-3259.882	-26.963	-3232.919	0.138	0.793	18.78	0.486
1890		1.994	-3263.683	-27.743	-3235.94	0.091	0.76	17.016	0.468
1900		2.004	-3263.944	-27.49	-3236.454	0.095	0.736	15.773	0.475
1910		2.014	-3260.959	-27.177	-3233.782	0.14	0.792	16.286	0.482
1920		2.025	-3261.431	-28.054	-3233.377	0.168	0.808	12.955	0.465
1930		2.035	-3261.431	-28.054	-3233.377	0.168	0.808	12.955	0.465
1940		2.046	-3263.059	-30.172	-3232.888	0.121	0.767	9.085	0.414
1950		2.056	-3264.923	-25.374	-3239.55	0.114	0.745	17.292	0.536
1960		2.067	-3263.494	-26.713	-3236.78	0.104	0.785	14.478	0.499
1970		2.077	-3263.918	-29.888	-3234.029	0.108	0.777	10.983	0.418
1980		2.088	-3262.472	-27.029	-3235.443	0.099	0.766	15.142	0.489
1990		2.098	-3262.829	-25.934	-3236.895	0.122	0.75	19.641	0.516
2000		2.109	-3261.334	-26.221	-3235.113	0.154	0.774	21.567	0.507
2010		2.119	-3262.721	-24.505	-3238.216	0.092	0.798	26.987	0.561
2020		2.13	-3263.804	-24.514	-3239.29	0.081	0.8	24.241	0.565
2030		2.14	-3262.448	-26.433	-3236.015	0.069	0.791	23.549	0.507
2040		2.15	-3263.323	-26.462	-3236.862	0.037	0.783	22.966	0.531
2050		2.161	-3263.082	-25.964	-3237.118	0.057	0.774	20.67	0.53
2060		2.172	-3262.561	-24.863	-3237.698	0.059	0.77	24.246	0.563
2070		2.182	-3264.623	-25.398	-3239.225	0.069	0.745	25.339	0.539
2080		2.193	-3264.157	-25.402	-3238.755	0.123	0.735	24.29	0.529
2090		2.203	-3265.605	-22.864	-3242.74	0.083	0.719	31.93	0.62
2100		2.214	-3264.323	-24.996	-3239.327	0.055	0.785	29.475	0.558
2110		2.224	-3263.226	-24.497	-3238.729	0.076	0.768	27.453	0.565
2120		2.235	-3263.604	-24.744	-3238.86	0.064	0.771	25.099	0.564
2130		2.245	-3267.228	-26.568	-3240.66	0.052	0.808	26.196	0.511
2140		2.256	-3264.458	-25.257	-3239.201	0.128	0.841	21.603	0.537
2150		2.266	-3264.596	-25.631	-3238.966	0.06	0.807	21.241	0.539
2160		2.277	-3262.318	-26.186	-3236.132	0.101	0.787	24.04	0.506
2170		2.287	-3265.587	-26.049	-3239.538	0.082	0.844	23.998	0.515
2180		2.298	-3264.211	-25.358	-3238.854	0.05	0.821	24.908	0.553
2190		2.308	-3264.9	-28.214	-3236.686	0.016	0.793	24.7	0.518
2200		2.319	-3262.505	-25.939	-3236.566	0.068	0.806	23.349	0.524
2210		2.329	-3262.829	-24.439	-3238.39	0.105	0.793	29.418	0.559
2220		2.34	-3262.291	-24.944	-3237.347	0.095	0.82	25.907	0.546
2230		2.35	-3262.461	-25.699	-3236.762	0.089	0.748	19.694	0.527
2240		2.361	-3264.613	-27.388	-3237.225	0.064	0.781	21.461	0.482
2250		2.371	-3263.473	-26.067	-3237.406	0.055	0.804	20.791	0.529
2260		2.382	-3263.726	-26.656	-3237.07	0.038	0.815	21.91	0.525
2270		2.392	-3263.302	-27.114	-3236.189	0.035	0.805	21.913	0.514
2280		2.403	-3263.302	-27.114	-3236.189	0.035	0.805	21.913	0.514
2290		2.414	-3262.323	-24.609	-3237.713	0.121	0.775	27.845	0.553
2300		2.424	-3262.808	-23.56	-3239.248	0.133	0.766	26.712	0.591
2310		2.435	-3264.214	-22.784	-3241.43	0.212	0.74	33.007	0.633
2320		2.445	-3262.154	-25.415	-3236.739	0.174	0.804	21.985	0.535
2330		2.456	-3262.154	-25.415	-3236.739	0.174	0.804	21.985	0.535
