"","id","Ros","Sulf"
"1072","M0984","r/r","s/s"
"1073","M0986","r/r","s/s"
"1074","M0987","R/r","s/s"
"1075","M0989","R/r","s/s"
"1076","M0991","r/r","s/s"
"1077","M0995","r/r","s/s"
"1078","M0996","R/R","S/+"
"1079","M0997","r/r","S/+"
"1080","M1001","r/r","s/s"
"1081","M1002","r/r","s/s"
"1082","M1004","R/R","S/+"
"1083","M1005","r/r","S/+"
"1084","M1006","R/r","S/+"
"1085","K1804","r/r","S/+"
"1086","M1008","r/r","S/+"
"1087","M1009","R/R","S/+"
"1088","M1013","r/r","s/s"
"1089","M1015","r/r","s/s"
"1090","M1016","R/r","S/+"
"1091","M1017","r/r","s/s"
"1092","M1018","r/r","S/+"
"1093","M1019","r/r","s/s"
"1094","M1020","R/R","s/s"
"1095","M1022","R/R","S/+"
"1096","M1024","R/r","S/+"
"1097","M1025","R/r","s/s"
"1098","M1028","R/r","S/+"
"1099","M1029","R/r","S/+"
"1100","M1030","r/r","s/s"
"1101","M1032","r/r","s/s"
"1102","M1033","R/R","s/s"
"1103","M1034","r/r","s/s"
"1104","M1035","R/R","S/+"
"1105","M1038","R/R","S/+"
"1106","M1039","R/r","S/+"
"1107","M1040","R/R","s/s"
"1108","M1041","r/r","s/s"
"1109","M1043","r/r","s/s"
"1110","K0536","R/r","S/+"
"1111","M1047","R/R","S/+"
"1112","M1048","R/R","S/+"
"1113","M1049","r/r","s/s"
"1114","M1051","R/R","S/+"
"1115","M1054","R/R","S/+"
"1116","M1056","R/R","s/s"
"1117","M1057","R/R","S/+"
"1118","M1058","R/R","S/+"
"1119","M1061","r/r","S/+"
"1120","M1062","R/R","S/+"
"1121","M1064","R/R","S/+"
"1122","M1065","R/R","s/s"
"1123","M1066","R/R","S/+"
"1124","M1068","R/R","S/+"
"1125","M1069","R/R","S/+"
"1126","M1072","R/R","S/+"
"1127","M1075","R/R","S/+"
"1128","M1076","R/R","S/+"
"1129","M1081","R/r","s/s"
"1130","K0773","R/r",NA
"1131","M1092","R/R","S/+"
"1132","M1094","R/R","S/+"
"1133","M1100","R/R","S/+"
"1134","M1101","R/R","S/+"
"1135","M1102","R/R","S/+"
"1136","M1104","R/R","S/+"
"1137","M1106","R/R","S/+"
"1138","M1108","R/R","S/+"
"1139","M1109","R/R","S/+"
"1140","M1110","R/R","S/+"
"1141","M1111","R/R","S/+"
"1142","M1112","R/R","S/+"
"1143","M1113","R/R","S/+"
"1144","M1114","R/R","S/+"
"1145","M1116","R/R","s/s"
"1146","M1118","R/R","S/+"
"1147","M1119","R/R","S/+"
"1148","M1122","R/R","S/+"
"1149","M1123","R/R","S/+"
"1150","M1124","R/R","S/+"
"1151","M1125","R/R","S/+"
"1152","M1130","R/R","S/+"
"1153","M1131","R/R","S/+"
"1154","M1132","R/R","S/+"
"1155","M1133","R/R","S/+"
"1156","M1135","R/R","S/+"
"1157","M1136","R/R","S/+"
"1158","M1137","R/R","S/+"
"1159","M1138","R/R","s/s"
"1160","M1139","R/R","S/+"
"1161","M1141","R/R","S/+"
"1162","M1142","R/R","S/+"
"1163","M1145","R/R","S/+"
"1164","M1146","R/R","S/+"
"1165","M1147","R/R","S/+"
"1166","M1148","R/R","S/+"
"1167","M1149","R/R","S/+"
"1168","M1150","R/R","S/+"
"1169","M1152","R/R","S/+"
"1170","M1153","r/r","s/s"
"1171","M1157","R/r","s/s"
"1172","M1158","r/r","s/s"
"1173","M1161","R/R","S/+"
"1174","M1162","R/R","S/+"
"1175","M1165","R/R","S/+"
"1176","M1166","r/r","s/s"
"1177","M1167","r/r","s/s"
"1178","M1168","R/R","S/+"
"1179","M1170","R/R","S/+"
"1180","M1172","r/r","s/s"
"1181","M1174","R/R","S/+"
"1182","M1175","r/r","s/s"
"1183","M1176","r/r","s/s"
"1184","M1178","R/R","S/+"
"1185","M1179","R/R","S/+"
"1186","M1181","r/r","s/s"
"1187","M1184","r/r","s/s"
"1188","M1185","r/r","s/s"
"1189","M1186","r/r","s/s"
"1190","M1187","r/r","S/+"
"1191","M1188","r/r","s/s"
"1192","M1189","R/R","S/+"
