iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
1810		1.833	-3254.7	-13.13	-3241.57	0.154	0.767	38.099	0.646
1820		1.843	-3253.377	-14.83	-3238.548	0.144	0.774	28.766	0.592
1830		1.853	-3252.56	-16.431	-3236.129	0.167	0.777	24.354	0.523
1840		1.863	-3254.613	-15.515	-3239.099	0.123	0.732	26.339	0.561
1850		1.873	-3253.21	-15.288	-3237.922	0.204	0.78	29.147	0.574
1860		1.884	-3252.768	-16.017	-3236.752	0.23	0.79	28.062	0.544
1870		1.894	-3252.768	-16.017	-3236.752	0.23	0.79	28.062	0.544
1880		1.904	-3252.57	-16.405	-3236.165	0.206	0.772	25.702	0.526
1890		1.914	-3251.512	-16.489	-3235.023	0.21	0.787	25.454	0.526
1900		1.924	-3252.335	-16.889	-3235.446	0.226	0.771	24.323	0.52
1910		1.934	-3252.335	-16.889	-3235.446	0.226	0.771	24.323	0.52
1920		1.944	-3252.279	-16.635	-3235.644	0.224	0.789	25.737	0.52
1930		1.954	-3253.934	-17.047	-3236.887	0.225	0.752	22.49	0.536
1940		1.964	-3252.919	-16.938	-3235.981	0.237	0.774	23.635	0.537
1950		1.975	-3253.483	-16.453	-3237.03	0.2	0.772	25.767	0.518
1960		1.985	-3252.224	-16.377	-3235.847	0.181	0.809	24.642	0.531
1970		1.995	-3252.224	-16.377	-3235.847	0.181	0.809	24.642	0.531
1980		2.005	-3252.913	-16.218	-3236.694	0.201	0.77	25.417	0.543
1990		2.015	-3252.686	-15.933	-3236.753	0.215	0.798	27.277	0.551
2000		2.025	-3252.634	-16.842	-3235.792	0.215	0.775	24.43	0.515
2010		2.035	-3252.954	-17.142	-3235.812	0.156	0.759	20.15	0.532
2020		2.045	-3251.655	-17.326	-3234.329	0.166	0.782	21.175	0.502
2030		2.055	-3253.286	-18.38	-3234.906	0.203	0.772	17.62	0.504
2040		2.065	-3252.272	-19.408	-3232.864	0.179	0.801	14.885	0.475
2050		2.076	-3256.138	-17.777	-3238.361	0.153	0.696	19.022	0.5
2060		2.086	-3256.978	-19.363	-3237.615	0.165	0.726	15.356	0.461
2070		2.096	-3255.043	-18.338	-3236.704	0.198	0.737	17.665	0.503
2080		2.106	-3253.008	-17.705	-3235.304	0.15	0.766	19.775	0.492
2090		2.116	-3252.778	-16.44	-3236.338	0.222	0.808	25.329	0.541
2100		2.126	-3254.2	-16.561	-3237.639	0.26	0.784	25.248	0.565
2110		2.136	-3252.873	-16.961	-3235.912	0.26	0.781	24.469	0.542
2120		2.146	-3254.312	-16.678	-3237.634	0.325	0.787	29.367	0.57
2130		2.156	-3254.385	-15.286	-3239.099	0.257	0.765	33.243	0.567
2140		2.166	-3256.81	-13.984	-3242.826	0.264	0.731	37.616	0.652
2150		2.177	-3257.943	-14.296	-3243.647	0.314	0.674	41.075	0.647
2160		2.187	-3256.865	-13.783	-3243.083	0.308	0.706	42.83	0.676
2170		2.197	-3259.942	-14.322	-3245.62	0.34	0.667	40.215	0.699
