"PlantID_final","Easting","Northing","Altitude"
"L0414",224.202293430746,87.9693893305957,1322.09
"L0435",26.5939681677264,710.827194580808,1360.86
"L0460",-115.433015707298,960.242880200967,1383.55
"L0461",-23.1889050232712,728.030215190724,1376.67
"L0465",-56.7682777962764,789.696793130599,1366.68
"L0474",-18.6381945642643,722.831254030578,1374.12
"L0475",57.1996978577226,552.99429081101,1362.4
"L0481",55.1677573627094,617.135455470532,1364.24
"L0485",59.8034440447227,705.256343190558,1371.97
"L0494",95.6031140377163,-105.676385039464,1287.55
"L0497",224.12774136872,9.54804537072778,1307.41
"L0499",92.5584428317379,-108.345111269504,1285.94
"L0501",93.5329865667154,-107.427334789187,1286.18
"L0503",129.35774996574,-88.6430236790329,1292.96
"L0536",613.559988079709,65.4561937404796,1304.66
"L0537",614.735534753709,63.4246155507863,1310.43
"L0538",487.483160757693,92.5205184705555,1312.19
"L0539",477.397625081707,87.7301451908424,1313.77
"L0540",472.885841092735,84.8572568409145,1312.89
"K1892",487.739712644718,92.6832064101472,1310.09
"L0565",-159.340821502265,929.977829470299,1388.91
"L0572",630.887216786738,54.6082945102826,1300.02
"L0573",606.199069507711,46.7339178808033,1299.14
"L0584",649.344534119708,60.1113807205111,1298.51
"L0588",757.277216923714,65.5187829807401,1291.95
"L0653",309.422385316691,-261.658880459145,1138.55
"L0662",309.888739311718,-261.741672399454,1137.53
"K0634",253.827034844726,-276.181833499111,1141.45
"L0677",-135.72096666228,107.456828020513,1340.21
"L0682",-135.878111887258,108.46132200025,1340.73
"L0689",-131.994659224292,104.708784630522,1337.56
"L0694",627.97331374872,59.5126158604398,1303.97
"L0695",559.245089308708,70.2874264102429,1309.81
"L0696",448.282190534694,67.662129140459,1314.57
"L0699",487.437759725726,89.0251695709303,1311.17
"J0920",603.202219804691,58.5430938806385,1303.36
"K1092",566.618452212715,68.7818501004949,1306.05
"L0705",537.633699175727,82.1357448203489,1304.43
"L0708",627.649429957732,60.0280519910157,1306.86
"L0713",808.46982971672,28.9503750009462,1290.4
"L0714",432.537836025702,58.4577833805233,1307.12
"K0774",22.7830447106971,-354.531517059542,1144.17
"L0758",24.0139888127451,-355.561019899324,1142.45
"K0776",24.0923668747419,-355.628502809443,1145.13
"L0770",24.4895387157449,-357.434051259421,1143.39
"L0786",398.811235189729,64.1711972402409,1309.67
"L0795",671.57471732673,80.3755767503753,1303.92
"L0800",637.899562302744,67.4076470509171,1303.25
"L0814",-125.077659248258,-419.432631659321,1157.97
"L0815",-140.02743161231,-431.54945457913,1154.97
"K0532",-178.68312767829,-459.429831009358,1154.47
"L0823",-5.09315741428873,-366.585640969686,1169.79
"L0859",881.021698835713,67.3672902407125,1287.55
