"id","flower_colour","rosea","sulfurea"
"M0050","FR","R/R","S/+"
"M0051","FR","R/R","S/+"
"M0052","FR","R/R","S/+"
"M0053","FR","R/R","S/+"
"M0054","Ye","r/r","s/s"
"M0055","FR","R/R","S/+"
"M0056","FO","R/R","s/s"
"M0057","FR","R/R","S/+"
"M0059","FR","R/R","S/+"
"M0060","WR","R/r","S/+"
"M0061","FR","R/R","S/+"
"K1696","FR","R/R","S/+"
"M0064","FR","R/R","S/+"
"M0068","WR","R/r","S/+"
"M0069","FO","R/R","s/s"
"M0070","FR","R/R","S/+"
"M0072","FR","R/R","S/+"
"M0074","FR","R/R","S/+"
"M0075","WO","R/r","s/s"
"M0076","FO","R/R","s/s"
"M0077","FR","R/R","S/+"
"M0079","FR","R/R","S/+"
"M0080","FR","R/R","S/+"
"M0081","FR","R/R","S/+"
"M0084","FR","R/R","S/+"
"M0087","WR","R/r","S/+"
"M0088","WR","R/r","S/+"
"M0089","FO","R/R","s/s"
"M0090","FR","R/R","S/+"
"M0091","FR","R/R","S/+"
"M0093","FR","R/R","S/+"
"M0094","FR","R/R","S/+"
"M0095","FR","R/R","S/+"
"M0096","FO","R/R","s/s"
"M0097","FR","R/R","S/+"
"M0098","FR","R/R","S/+"
"M0099","WR","R/r","S/+"
"M0100","FR","R/R","S/+"
"M0101","FR","R/R","S/+"
"M0102","FR","R/R","S/+"
"M0104","Ye","r/r","s/s"
"M0106","FR","R/R","S/+"
"M0107","WR","R/r","S/+"
"M0114","FR","R/R","S/+"
"M0118","FR","R/R","S/+"
"M0122","FR","R/R","S/+"
"M0123","FO","R/R","s/s"
"M0125","FR","R/R","S/+"
"M0127","FR","R/R","S/+"
"M0128","FR","R/R","S/+"
"M0129","WR","R/r","S/+"
"M0133","Ye","r/r","s/s"
"M0136","FR","R/R","S/+"
"M0137","WO","R/r","s/s"
"M0139","FR","R/R","S/+"
"M0141","FR","R/R","S/+"
"M0142","WR","R/r","S/+"
"K0739","FR","R/R","S/+"
"M0144","FR","R/R","S/+"
"M0145","WR","R/r","S/+"
"M0146","WR","R/r","S/+"
"M0147","WR","R/r","S/+"
"M0148","WR","R/r","S/+"
"M0150","FR","R/R","S/+"
"M0153","Ye","r/r","s/s"
"M0155","Ye","r/r","s/s"
